mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.56531	0.44251	0.04716	0.89449	0.24578	0.05187	0.04848	0.05258	0.03192	0.04797	0.20461	0.4512	0.04883	2.01906	0.68918
0.54932	0.46591	0.04589	1.28582	0.23824	0.04965	0.04873	0.05179	0.0316	0.04554	0.20686	0.44904	0.048	1.15082	0.71719
0.53128	0.43834	0.04584	1.15297	0.24159	0.04792	0.04859	0.0479	0.03256	0.04611	0.20746	0.45079	0.04722	1.88974	0.73277
0.54185	0.44714	0.04609	1.009	0.24209	0.05135	0.04953	0.0489	0.03461	0.04619	0.20511	0.44711	0.04808	1.19893	0.71328
0.53735	0.45284	0.04675	1.08212	0.24391	0.05008	0.04861	0.04629	0.03201	0.04742	0.20679	0.44772	0.04765	1.20513	0.70302
0.53103	0.45022	0.04571	1.30522	0.24057	0.04963	0.04865	0.04719	0.03197	0.0463	0.20147	0.44658	0.04793	1.21948	0.71097
0.54604	0.44253	0.04543	0.91711	0.2442	0.04991	0.04839	0.05073	0.03466	0.04646	0.2047	0.45103	0.047	1.08676	0.70864
0.54927	0.45044	0.04593	0.91267	0.24568	0.04907	0.04813	0.05129	0.03276	0.04604	0.20705	0.44713	0.04813	1.11815	0.71703
0.54231	0.45024	0.04757	1.11134	0.24451	0.0502	0.04808	0.04688	0.03305	0.04491	0.20314	0.44529	0.04853	1.21349	0.71227
0.53568	0.45129	0.04653	1.42003	0.24714	0.04876	0.04797	0.04833	0.03298	0.04612	0.20545	0.44377	0.04838	1.94614	0.70031
0.53706	0.44353	0.04577	1.60849	0.24563	0.04991	0.04797	0.04939	0.03449	0.04662	0.20892	0.44403	0.04758	0.9421	0.70597
0.5319	0.44975	0.04553	0.89099	0.24184	0.05066	0.04849	0.0493	0.03316	0.04583	0.20717	0.44329	0.04813	1.16062	0.71415
0.53398	0.4479	0.04574	1.01611	0.24397	0.04981	0.04951	0.05012	0.0318	0.04606	0.20929	0.44627	0.04853	1.1148	0.71766
0.53846	0.447	0.04528	0.91923	0.24325	0.05111	0.04913	0.04884	0.03329	0.04803	0.20607	0.44872	0.04858	1.13312	0.70423
0.52723	0.4472	0.04555	1.31245	0.24414	0.05102	0.04936	0.0492	0.03197	0.0449	0.20579	0.4491	0.0487	1.53774	0.71123
0.51878	0.45498	0.04614	0.88887	0.2397	0.05046	0.05079	0.04815	0.03343	0.04596	0.2055	0.44481	0.04579	0.9795	0.71293
0.53454	0.45214	0.04626	0.96558	0.23842	0.04992	0.04953	0.04746	0.03311	0.04638	0.20509	0.45004	0.04788	2.17589	0.70763
0.52554	0.45452	0.04526	1.4164	0.24065	0.0502	0.04715	0.04931	0.03268	0.04701	0.20805	0.45111	0.04806	1.11496	0.71263
0.52092	0.45088	0.04692	1.00831	0.2421	0.04946	0.0483	0.04933	0.03219	0.04615	0.20724	0.44247	0.04763	1.43483	0.7105
0.51244	0.46402	0.04563	1.53646	0.24255	0.05025	0.04763	0.04917	0.03214	0.04719	0.20792	0.44336	0.04829	1.7255	0.71235
0.51414	0.46196	0.04555	0.89479	0.24143	0.05022	0.04923	0.04895	0.03258	0.04545	0.20787	0.44351	0.04792	1.20756	0.69559
0.50813	0.45708	0.04622	0.90681	0.24262	0.04943	0.04978	0.04743	0.03315	0.04672	0.20917	0.4428	0.04799	1.70272	0.71238
