mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
4.571659593801544	6.799640551187628	5.8156359256235834	9.584211885873946	9.029963535187955	4.1271967568007675	2.303472199771297	2.274517950001463	3.3528615103512482	3.27440043384479	3.3706039874133316	2.9902863687815358	2.4272814728285232	1.9295916185783581	10.489358627778136
3.913893733226315	8.166911218993848	4.904381963070153	10.35965707495743	9.045665330745944	4.415278354693462	2.149368420942113	2.0535929764001573	3.0333433407115837	2.9495021070240446	3.5496454291468025	2.939883654116055	2.1855323896828907	1.9204926272165987	10.454082057161916
4.130516727320754	6.484676584571374	5.20417777227706	9.79183903910009	8.724450980520546	4.429890647224174	2.5934698435045895	1.9743969389214893	3.901469735637725	3.731101516007409	3.2059065310932255	3.1092297037440284	2.297285549182121	2.531079218143665	10.029183731800714
5.240933053947664	5.582531217861531	6.419333867991062	10.007540918444013	9.150224552343454	5.342887425578584	1.9913781626941507	2.1940204640729233	3.043190685180823	3.438637442174226	3.253893795420862	3.6438867060981166	2.2319549158846215	1.8552000118260608	9.48386782981949
4.175326047950471	6.869730732997222	4.789921114941992	8.6643147325843	8.85884716911243	4.195880198643484	2.100554785362584	2.061454095424523	3.4202290079686013	3.0094440239052846	3.4369232312679903	3.25975452309031	2.268253065317512	1.9168992332595065	10.643293429527004
4.04426425636291	6.062454683007456	5.518427583013245	9.006010917285694	9.04407475797505	4.968022375729541	2.2295472290685954	1.9533568929531888	3.8421198646320986	3.5601021528303223	3.261170466069124	3.0466546758830635	2.1353636345025206	2.3325360816740424	10.561072348170168
4.304053152366332	5.9495532901690416	5.32711001311597	8.042612358259694	8.98347272459803	4.064872415703833	2.2353244416553517	2.089868975718182	3.0350665827902144	2.9786542451067213	3.275031444911013	3.234711857538841	2.1204202649736787	2.0829227191497415	10.661721867650169
4.778726078779371	6.963462786743967	4.283637868141941	9.227303394099888	8.829805768210397	4.126879097804337	2.477909128028465	2.165648458076826	3.13814072207354	2.9756013290870325	3.4237384833071225	3.2592898640831764	2.1747276206556974	1.9575942274211044	10.43754317268756
4.431650211384099	6.954980700488475	6.144302924347973	9.056991939667405	8.990207363203384	4.021446529241376	2.2254960884972492	2.1338066412641763	3.691584310426649	2.972964497216398	3.2830730753471102	3.089274096654407	2.222227638948126	2.0629489013039612	9.79072339941594
6.666558785279247	6.771287353481672	4.723927470035777	9.33211656748356	9.196479817261693	4.531748006973886	2.1487639266175074	2.134826560142581	3.83531668816387	3.300876450618846	3.4181041597692134	3.1206145288476743	2.8642919122048136	2.1640054020315294	9.36267698276949
4.027276267426722	6.6263426094498366	5.131818149131999	8.640522965747795	8.578040832172132	4.266076772242394	2.117146974540168	2.0139466208770394	3.2365225353759532	3.035987950191464	3.200660072485828	2.968171790267511	2.360662102341181	1.81518608986145	9.374770259428814
5.115024314912497	6.534365694509194	5.739927767711191	7.832260416969361	8.874024500673114	4.4577040249107425	1.8728591335961933	2.298190865901897	3.5182687655608866	3.25769944125884	3.1031964009576183	5.005281207966248	2.198922193010638	1.9142317196266165	10.018537008556393
3.9476346089391403	4.62113460996921	4.400519780372199	10.026051755426646	9.253473344427663	4.463433359630007	2.0484919356397686	2.1608718333089794	3.621769964990021	3.1580842344756017	3.1650662112272356	2.8669882825510435	1.9117590644551115	1.814775559632841	10.0472322043546
