mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.34487	0.39772	0.04385	0.6041	0.29318	0.04154	0.04697	0.02351	0.01352	0.04523	0.05109	0.09687	0.04498	0.21555	0.07974
0.35997	0.43483	0.03538	0.6025	0.29563	0.03761	0.03296	0.02134	0.01105	0.04417	0.0481	0.10177	0.04116	0.19825	0.07343
0.34122	0.41697	0.02481	0.62325	0.26484	0.02513	0.03213	0.02478	0.01134	0.0367	0.04578	0.11316	0.03466	0.19172	0.07549
0.37934	0.41504	0.01813	0.55641	0.29367	0.02293	0.02584	0.02315	0.01528	0.02697	0.04016	0.09915	0.03017	0.1769	0.07411
0.33618	0.38379	0.01222	0.387	0.36598	0.024	0.02456	0.02227	0.01573	0.01873	0.04079	0.0903	0.01934	0.17401	0.0746
0.37031	0.37789	0.00995	0.33864	0.26999	0.0183	0.02375	0.02028	0.01618	0.01461	0.03863	0.08352	0.01486	0.16882	0.07308
0.37046	0.35596	0.00506	0.33896	0.23953	0.02143	0.01711	0.01786	0.0107	0.01548	0.03111	0.07571	0.01497	0.14745	0.07614
0.38944	0.35413	0.00523	0.30493	0.17171	0.0184	0.01658	0.02368	0.01425	0.01151	0.02792	0.07339	0.01282	0.15062	0.07357
0.379	0.3239	0.00112	0.30966	0.20469	0.02117	0.01837	0.01882	0.01193	0.01408	0.02421	0.06093	0.00875	0.19963	0.07273
0.4029	0.30714	0.00403	0.30243	0.20003	0.01833	0.0152	0.02507	0.01781	0.01026	0.02038	0.06474	0.00883	0.17058	0.08026
0.36834	0.32177	0.00073	0.27813	0.22805	0.01851	0.01972	0.02264	0.01177	0.01294	0.01895	0.05244	0.01349	0.18541	0.07941
0.32075	0.3436	0.00145	0.2649	0.23587	0.01993	0.01684	0.02292	0.01211	0.01024	0.01719	0.05266	0.01183	0.16479	0.07025
0.3578	0.3447	0.00101	0.27145	0.18616	0.0142	0.01743	0.01789	0.00991	0.00761	0.01291	0.05964	0.01037	0.16494	0.07659
0.3399	0.31451	0.0023	0.25561	0.20262	0.02103	0.0182	0.02662	0.01629	0.00879	0.01727	0.0468	0.00992	0.15805	0.08238
0.34065	0.30402	0.00199	0.24046	0.17165	0.0198	0.01669	0.02689	0.01025	0.00753	0.01506	0.04365	0.00677	0.24359	0.07491
0.29848	0.24381	0.00375	0.21128	0.1765	0.01439	0.01619	0.02436	0.01161	0.00961	0.01188	0.0432	0.00626	0.19438	0.07455
0.40207	0.31462	0.00149	0.21275	0.18433	0.01645	0.01602	0.02498	0.007	0.00841	0.01118	0.04122	0.00741	0.16109	0.07092
0.36738	0.26013	0.00145	0.2284	0.19091	0.01673	0.01558	0.01685	0.01185	0.00808	0.00833	0.03725	0.00751	0.16422	0.07813
0.35217	0.28479	0.0024	0.23493	0.18495	0.01569	0.01623	0.02248	0.01193	0.00732	0.00782	0.03993	0.00771	0.19543	0.07689
0.3648	0.31817	0.00053	0.24606	0.17165	0.01355	0.01571	0.02354	0.00891	0.00528	0.00922	0.05061	0.00673	0.17681	0.06426
0.2758	0.24322	0.00233	0.22114	0.27689	0.01666	0.0177	0.01875	0.01004	0.00646	0.00821	0.03862	0.00711	0.18674	0.07429
0.26644	0.22055	0.00111	0.22028	0.23594	0.01455	0.0182	0.02092	0.00538	0.00589	0.00504	0.04063	0.00692	0.20412	0.07039
0.26714	0.20147	0.00155	0.20219	0.1855	0.0154	0.01811	0.01655	0.00662	0.00647	0.00358	0.04255	0.00662	0.23021	0.0665
0.21916	0.1973	0.00138	0.20975	0.30027	0.01817	0.01623	0.01474	0.0079	0.00466	0.00834	0.03564	0.00656	0.2093	0.07096
0.26734	0.19045	0.00197	0.20969	0.30934	0.01624	0.01892	0.01838	0.0041	0.00601	0.00551	0.03403	0.00597	0.21348	0.06596
0.34906	0.24349	0.00407	0.23519	0.22541	0.01908	0.01577	0.01657	0.00597	0.00424	0.00466	0.0303	0.00411	0.21555	0.07461
0.31804	0.21297	0.00154	0.18056	0.20186	0.01793	0.01865	0.01719	0.0065	0.00484	0.00694	0.03714	0.00476	0.20361	0.063
