mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.56857	0.63472	0.57158	0.83297	0.71366	0.62924	0.37533	0.40737	0.44969	0.437	0.52011	0.47067	0.41713	0.41328	0.93439
0.5526	0.60861	0.56422	0.84314	0.70092	0.61697	0.37888	0.42043	0.44262	0.40762	0.49949	0.48497	0.39558	0.39683	0.93565
0.54201	0.60135	0.56921	0.81675	0.70875	0.60736	0.34132	0.39911	0.4723	0.39454	0.47916	0.47623	0.43076	0.4002	0.88542
0.52834	0.61442	0.54246	0.83565	0.72157	0.58378	0.34858	0.39686	0.44525	0.40998	0.50845	0.46162	0.40135	0.38042	0.91625
0.51918	0.57573	0.53507	0.84104	0.71255	0.62276	0.34403	0.39144	0.43121	0.43031	0.48324	0.43727	0.39456	0.35619	0.90975
0.50323	0.58058	0.52728	0.81503	0.71838	0.60995	0.32291	0.39909	0.42544	0.42031	0.46476	0.43806	0.39189	0.38364	0.91716
0.53193	0.58829	0.5248	0.85389	0.7082	0.62732	0.34172	0.38811	0.47242	0.39393	0.45215	0.42622	0.37801	0.35316	0.94499
0.51069	0.57903	0.53466	0.86253	0.71983	0.60109	0.32725	0.38436	0.46101	0.39763	0.44781	0.42177	0.35722	0.33492	1.04327
0.53307	0.5776	0.51695	0.80988	0.70997	0.59303	0.31834	0.38751	0.46895	0.40145	0.44576	0.39121	0.36869	0.31631	0.91032
0.48886	0.56865	0.51811	0.80335	0.70261	0.59547	0.30572	0.41776	0.44366	0.38661	0.41998	0.41273	0.37511	0.36221	0.88453
0.50094	0.57609	0.49477	0.82502	0.70396	0.58687	0.32521	0.39569	0.44505	0.39453	0.42032	0.40251	0.35482	0.33474	0.88132
0.48664	0.5607	0.52209	0.83763	0.71572	0.58615	0.31109	0.3987	0.46333	0.40438	0.42001	0.39441	0.35159	0.3148	0.8659
0.50464	0.55253	0.51678	0.84364	0.72012	0.58921	0.29638	0.39192	0.45321	0.37736	0.40974	0.40165	0.33984	0.31749	0.91121
0.50566	0.56069	0.50803	0.81042	0.71462	0.57569	0.3056	0.41383	0.45945	0.38244	0.41534	0.36671	0.31462	0.31788	0.91304
0.50759	0.56063	0.50441	0.8224	0.69828	0.55487	0.27654	0.42691	0.47123	0.38542	0.38481	0.38308	0.34605	0.31411	0.9123
0.46456	0.53999	0.50152	0.84748	0.7016	0.56703	0.29727	0.40679	0.46322	0.38873	0.3953	0.36448	0.32954	0.30081	0.85925
0.45474	0.55356	0.48332	0.83957	0.6926	0.57724	0.28693	0.4039	0.43515	0.38588	0.39289	0.36961	0.32811	0.27697	0.88174
0.49406	0.56001	0.49191	0.83758	0.6938	0.53004	0.27724	0.41639	0.45588	0.37511	0.38546	0.3619	0.31857	0.29299	0.9009
0.49897	0.55542	0.48671	0.78523	0.70487	0.54474	0.27899	0.38864	0.47287	0.35699	0.3918	0.3675	0.33548	0.28857	0.93248
0.46197	0.53676	0.48709	0.83708	0.71513	0.56055	0.29711	0.42602	0.43421	0.36178	0.38248	0.37111	0.30258	0.28043	0.97985
0.48754	0.54323	0.48914	0.79222	0.7077	0.55532	0.28428	0.41037	0.45096	0.35139	0.38525	0.3611	0.31158	0.28287	0.86033
0.47047	0.55225	0.4764	0.82992	0.70802	0.53813	0.27669	0.38324	0.45587	0.35075	0.37836	0.34827	0.29656	0.29931	0.92668
0.46569	0.54303	0.50461	0.813	0.70499	0.578	0.26836	0.4037	0.44814	0.35211	0.38325	0.34491	0.29789	0.27007	0.93716
0.45456	0.52967	0.46078	0.79771	0.72286	0.55527	0.26002	0.39647	0.46725	0.37344	0.372	0.32252	0.30407	0.27151	0.8941
0.45893	0.55383	0.46498	0.82374	0.71527	0.52805	0.27227	0.3817	0.42599	0.38098	0.35148	0.32128	0.30125	0.26707	0.89398
0.46094	0.53983	0.47376	0.80106	0.70821	0.53121	0.26204	0.40739	0.42669	0.35966	0.3636	0.33001	0.31961	0.28025	0.8753
0.45208	0.51046	0.46707	0.82531	0.73135	0.56171	0.28133	0.40623	0.46215	0.36356	0.37929	0.34748	0.29103	0.27434	0.91499
