mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.70935	0.61466	0.04097	0.82983	0.27033	0.05343	0.04778	0.05558	0.01668	0.04478	0.14836	0.22474	0.04984	0.91378	0.69206
0.61191	0.61693	0.03664	0.88178	0.25405	0.04335	0.04672	0.04388	0.01637	0.04554	0.15474	0.185	0.04305	0.94837	0.68524
0.48512	0.63463	0.0256	0.88891	0.33262	0.04067	0.0385	0.02851	0.02038	0.04183	0.13262	0.15458	0.0305	0.87396	0.69734
0.52559	0.70182	0.01747	0.91723	0.25684	0.03522	0.03246	0.03089	0.01805	0.04192	0.10361	0.26982	0.01702	0.88572	0.68489
0.56219	0.76792	0.00615	0.76451	0.30665	0.03261	0.02775	0.0334	0.0174	0.03407	0.10332	0.20411	0.01041	0.91473	0.69956
0.53406	0.5597	0.00816	0.82171	0.27426	0.01951	0.01973	0.02949	0.01811	0.02608	0.09642	0.24146	0.00987	0.86907	0.71644
0.55645	0.6059	0.00553	0.8987	0.25788	0.01473	0.02376	0.03808	0.01354	0.01934	0.08766	0.24376	0.00842	0.836	0.71241
0.56272	0.76207	0.00581	0.88022	0.38191	0.016	0.01993	0.03276	0.01807	0.01788	0.07495	0.17026	0.00639	0.84482	0.71911
0.53146	0.68886	0.0048	0.83992	0.29788	0.01147	0.01228	0.0352	0.01902	0.00959	0.10097	0.16479	0.00603	0.82389	0.69854
0.57037	0.78577	0.0051	0.91207	0.39323	0.00961	0.01192	0.0261	0.02049	0.0088	0.08229	0.15061	0.00564	0.86676	0.72054
0.45826	0.80896	0.00378	0.90656	0.44808	0.00915	0.00852	0.03218	0.01403	0.01054	0.07657	0.14349	0.00751	0.84315	0.73985
0.47868	0.73781	0.0028	0.82697	0.35287	0.01076	0.00884	0.03212	0.01998	0.00956	0.0861	0.15995	0.00684	0.87342	0.70859
0.5258	0.71213	0.004	0.78343	0.28755	0.01596	0.01554	0.02982	0.0184	0.00583	0.08747	0.16503	0.00773	0.9197	0.7311
0.54041	0.73189	0.00278	0.78521	0.4299	0.01093	0.01049	0.03156	0.01941	0.00571	0.08604	0.14899	0.00627	0.89028	0.72072
0.52273	0.75981	0.00483	0.74716	0.33537	0.01326	0.01193	0.03142	0.01559	0.00792	0.10038	0.15471	0.00527	0.9328	0.71466
0.56492	0.53804	0.00351	0.83303	0.32106	0.0103	0.01051	0.03804	0.01793	0.00711	0.07209	0.18895	0.00551	0.93823	0.732
0.49316	0.77881	0.00475	0.78587	0.37846	0.01453	0.01095	0.03339	0.02136	0.00662	0.07835	0.16268	0.01092	0.91303	0.71853
0.51504	0.52749	0.00273	0.88797	0.38463	0.01899	0.00789	0.0254	0.01934	0.00667	0.08286	0.26299	0.00563	0.9212	0.72297
0.51527	0.68859	0.00192	0.81434	0.43584	0.01838	0.01044	0.02688	0.01551	0.00387	0.08807	0.22239	0.00424	0.90628	0.71413
0.53571	0.75459	0.00491	0.77136	0.44941	0.01603	0.00921	0.0353	0.01559	0.00519	0.08282	0.1742	0.00677	0.90065	0.72225
0.53231	0.71486	0.0017	0.73236	0.36725	0.01345	0.00933	0.03493	0.01759	0.00566	0.05967	0.20883	0.00594	0.93388	0.71381
0.55515	0.64353	0.00211	0.83213	0.41617	0.01363	0.00875	0.0378	0.01445	0.00365	0.06881	0.19876	0.0049	0.92622	0.73831
0.5867	0.7788	0.00318	0.80973	0.36544	0.00917	0.00979	0.03657	0.02237	0.00321	0.0837	0.16687	0.00428	0.89386	0.71691
0.54556	0.73695	0.00185	0.81523	0.444	0.01389	0.00777	0.03392	0.01257	0.00418	0.08089	0.19411	0.00702	0.89632	0.71508
0.5803	0.6767	0.0004	0.89433	0.38457	0.01034	0.01329	0.0285	0.0142	0.00432	0.09522	0.19134	0.00674	0.91307	0.73809
0.56453	0.58249	0.00236	0.85532	0.30653	0.00648	0.00897	0.02856	0.01583	0.00419	0.07664	0.15324	0.00589	0.90433	0.73872
0.5618	0.56603	0.00176	0.97243	0.29615	0.00651	0.0075	0.0307	0.01254	0.002	0.09507	0.22736	0.00533	0.91104	0.75285
