mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.51819	0.44274	0.04705	1.55774	0.2537	0.056	0.05474	0.04171	0.02797	0.04827	0.21296	0.45823	0.04753	1.94548	0.72044
0.51996	0.45463	0.04492	1.51019	0.2456	0.05067	0.04992	0.0451	0.03047	0.04632	0.20684	0.44674	0.04763	1.75639	0.7213
0.52974	0.4521	0.04562	0.91956	0.24294	0.04895	0.0496	0.04883	0.03267	0.04636	0.2081	0.44464	0.04799	1.05455	0.70773
0.52475	0.45553	0.04517	0.91621	0.241	0.0496	0.04869	0.05143	0.03176	0.04605	0.21009	0.44462	0.04861	1.03844	0.70801
0.52938	0.45326	0.04635	1.32584	0.24376	0.05051	0.04928	0.04966	0.03101	0.04674	0.20867	0.4467	0.04745	0.99866	0.70576
0.52781	0.45902	0.04499	1.50261	0.24899	0.05025	0.04867	0.04824	0.03345	0.04623	0.21175	0.44481	0.04747	1.07908	0.71023
0.52891	0.45928	0.04656	1.53381	0.24691	0.05096	0.04926	0.04771	0.0323	0.0469	0.20694	0.44274	0.04718	1.93098	0.71439
0.5188	0.46424	0.04556	1.24682	0.24724	0.0502	0.04921	0.04779	0.03095	0.04592	0.21166	0.44299	0.04699	1.10051	0.7194
0.51926	0.47562	0.04503	1.38098	0.24538	0.05023	0.04921	0.04957	0.03208	0.04675	0.20981	0.44917	0.04804	1.9394	0.70902
0.51154	0.47873	0.04631	1.01771	0.24879	0.05183	0.05035	0.04602	0.03233	0.04665	0.21418	0.44458	0.0475	1.29693	0.71417
0.50562	0.48123	0.04605	1.03609	0.24875	0.05141	0.04938	0.04774	0.03176	0.04648	0.21245	0.44969	0.04863	1.99416	0.70795
0.5066	0.47912	0.04566	1.17974	0.25217	0.05153	0.04997	0.04656	0.03225	0.04567	0.20938	0.44522	0.04803	1.63873	0.7115
0.50669	0.48105	0.04516	0.98405	0.25075	0.05082	0.04833	0.04612	0.03181	0.04756	0.2062	0.44709	0.04741	1.09601	0.72074
0.5109	0.48051	0.04655	0.93033	0.251	0.04975	0.04986	0.04611	0.03081	0.0455	0.20885	0.44728	0.04709	0.94473	0.70482
0.51841	0.48175	0.04609	1.44867	0.25296	0.0512	0.04964	0.04767	0.03089	0.04601	0.20828	0.44095	0.0473	2.00966	0.71259
0.54392	0.47935	0.04517	1.01826	0.25277	0.05062	0.04934	0.04809	0.03064	0.04526	0.21071	0.4441	0.04745	1.49673	0.7124
0.55861	0.47982	0.04726	1.04294	0.25365	0.05032	0.04956	0.04597	0.03242	0.04649	0.20761	0.44698	0.04884	1.9728	0.71816
0.56277	0.469	0.04535	1.43342	0.25237	0.05018	0.04982	0.04741	0.03256	0.04636	0.21353	0.44792	0.04708	1.86567	0.71504
0.53913	0.46746	0.04568	0.98943	0.25225	0.0509	0.04925	0.04985	0.03266	0.04721	0.21336	0.45137	0.04656	1.81375	0.70068
0.52945	0.4657	0.04609	0.90125	0.2509	0.04959	0.04944	0.04667	0.03177	0.04564	0.20701	0.45092	0.04813	1.04173	0.70483
0.52513	0.46688	0.04511	1.11782	0.24993	0.04939	0.04933	0.04763	0.03142	0.0467	0.21467	0.44655	0.04835	1.74128	0.71776
0.5267	0.4716	0.04494	1.03093	0.25197	0.04971	0.04968	0.04657	0.03245	0.04685	0.21074	0.44792	0.04782	1.84903	0.71897
0.53642	0.46487	0.04582	1.03131	0.25034	0.05157	0.05055	0.04905	0.03183	0.04592	0.20916	0.44406	0.04797	1.24111	0.7083
0.52245	0.46481	0.04631	1.15918	0.25361	0.04923	0.04905	0.04558	0.03101	0.04697	0.2176	0.44594	0.04765	0.94588	0.71043
0.52592	0.46765	0.04555	1.0089	0.25499	0.05069	0.0499	0.04795	0.03377	0.04647	0.20847	0.44625	0.04709	0.99033	0.70642
0.52669	0.47359	0.04631	0.96254	0.25768	0.04916	0.0504	0.04555	0.03226	0.04641	0.21121	0.448	0.04715	1.79985	0.70957
0.52804	0.45974	0.04558	0.89911	0.24905	0.04894	0.04831	0.04946	0.03131	0.0453	0.21127	0.44314	0.04734	1.48724	0.71543
0.53792	0.46406	0.04437	1.51083	0.25327	0.04975	0.04788	0.04664	0.0313	0.0463	0.20663	0.44655	0.04794	2.14657	0.70885
0.52218	0.4731	0.04496	1.01596	0.25288	0.04929	0.04767	0.047	0.03191	0.04646	0.20953	0.44686	0.04834	2.01025	0.71409
0.5187	0.46508	0.04492	0.97669	0.25179	0.05008	0.04918	0.05025	0.03214	0.0464	0.21426	0.44348	0.04646	1.23547	0.70797
0.52984	0.47069	0.04461	0.97167	0.25449	0.04942	0.04991	0.04594	0.03263	0.0477	0.21278	0.44566	0.04785	2.10978	0.70785
0.5221	0.47003	0.04607	1.45618	0.2554	0.04986	0.04924	0.04549	0.0316	0.04665	0.21025	0.44306	0.04796	1.19931	0.71273
0.53532	0.46349	0.0457	0.95922	0.25342	0.04949	0.04878	0.04726	0.03081	0.04596	0.20969	0.44589	0.04766	1.22829	0.7136
0.52411	0.46398	0.04474	0.95412	0.25238	0.04933	0.04845	0.04799	0.0325	0.04597	0.21548	0.44504	0.04748	0.94821	0.71202
0.52891	0.47496	0.0455	1.49543	0.25325	0.04892	0.04808	0.04639	0.03256	0.04719	0.21211	0.44072	0.04768	2.08853	0.7107
0.52579	0.46821	0.04538	1.00264	0.25345	0.04908	0.04789	0.04776	0.03015	0.04754	0.20834	0.44615	0.04762	1.02402	0.71121
0.52686	0.46938	0.0446	0.99307	0.25211	0.0497	0.04921	0.0456	0.03157	0.0465	0.21047	0.4454	0.04765	0.96815	0.71495
0.53401	0.46465	0.04508	0.89462	0.25002	0.04891	0.04964	0.04603	0.03219	0.04674	0.21287	0.44605	0.04782	1.71243	0.71129
0.53182	0.46618	0.04475	0.91134	0.24979	0.04853	0.04878	0.04609	0.03247	0.04581	0.21174	0.44545	0.04669	1.02308	0.70641
0.53185	0.45987	0.04549	1.04554	0.25	0.04842	0.04939	0.04773	0.0324	0.04659	0.21125	0.44709	0.04928	1.47623	0.71167
0.53374	0.46657	0.04615	0.90195	0.2491	0.04932	0.04753	0.04689	0.03211	0.04664	0.21384	0.44396	0.04701	1.96999	0.71234
0.54391	0.46733	0.0449	1.48847	0.24787	0.05021	0.04745	0.049	0.03256	0.04564	0.21175	0.44724	0.04675	1.82575	0.71694
0.5291	0.46488	0.04528	0.94136	0.25184	0.04866	0.04962	0.04854	0.03247	0.0465	0.21132	0.44847	0.04715	1.0567	0.71279
