mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.67059	0.56772	0.05079	0.55807	0.26249	0.08361	0.07299	0.02031	0.03087	0.05004	0.06655	0.4189	0.04786	0.48222	0.78881
0.72281	0.509	0.03557	0.53061	0.22436	0.10909	0.06114	0.02015	0.02963	0.04676	0.05621	0.45678	0.03699	0.38027	0.79464
0.68262	0.49621	0.02968	0.44126	0.15759	0.09784	0.06808	0.02127	0.02883	0.03431	0.02904	0.43296	0.02705	0.34796	0.78287
0.57813	0.41135	0.01287	0.43522	0.16762	0.09007	0.06088	0.02655	0.03637	0.03014	0.02087	0.44731	0.01795	0.18798	0.76404
0.64549	0.38866	0.00394	0.36723	0.13318	0.10061	0.04336	0.03005	0.03441	0.01922	0.01552	0.42654	0.01042	0.26614	0.79161
0.47695	0.42935	0.00091	0.34267	0.21127	0.06857	0.03602	0.0351	0.03311	0.01585	0.01937	0.43091	0.00449	0.38203	0.77729
0.4729	0.37247	0.00264	0.27782	0.15967	0.07305	0.03672	0.03938	0.03709	0.01589	0.02096	0.43237	0.0077	0.39838	0.78094
0.49948	0.43208	0.00102	0.30355	0.15173	0.07228	0.04112	0.03942	0.03291	0.01366	0.01472	0.44696	0.00574	0.3508	0.76983
0.71346	0.37208	0.00137	0.39149	0.15093	0.0615	0.03174	0.02538	0.03892	0.0114	0.01534	0.43666	0.00378	0.41448	0.78484
0.53334	0.34962	0.00109	0.28118	0.13633	0.05759	0.03323	0.03748	0.03739	0.00811	0.01987	0.4585	0.00111	0.45319	0.78346
0.4858	0.44699	0.00201	0.2695	0.22329	0.06897	0.03764	0.04545	0.03881	0.00743	0.01537	0.43839	0.00168	0.32853	0.76877
0.54941	0.36633	0.00123	0.3447	0.1456	0.05991	0.02517	0.02549	0.03672	0.00785	0.01978	0.45344	0.00217	0.42606	0.75299
0.42838	0.2376	0.00151	0.25359	0.1894	0.04608	0.04437	0.02595	0.03269	0.00803	0.01416	0.50531	0.00134	0.27793	0.76354
0.43601	0.31027	0.00056	0.28847	0.12913	0.05043	0.03953	0.02844	0.03593	0.0071	0.0142	0.50428	0.00144	0.19701	0.7487
0.52573	0.42725	0.00117	0.25029	0.15328	0.07655	0.0439	0.03969	0.03827	0.00642	0.01925	0.5557	0.00239	0.25113	0.76386
0.39215	0.28152	0.00098	0.28354	0.1435	0.06646	0.03064	0.03475	0.03424	0.00579	0.0155	0.48872	0.00154	0.20945	0.77028
0.40595	0.28563	0.00208	0.27118	0.16286	0.05659	0.03361	0.02599	0.03354	0.00576	0.01088	0.53521	0.0016	0.33468	0.76598
0.46808	0.24486	0.00108	0.2492	0.11443	0.05523	0.03755	0.0243	0.02779	0.0057	0.0135	0.53997	0.00158	0.28721	0.7578
0.37947	0.19537	0.00059	0.27	0.15603	0.06442	0.03157	0.02359	0.034	0.00688	0.01176	0.54784	0.00108	0.24878	0.77143
0.45519	0.21652	0.00286	0.28993	0.11415	0.04239	0.02948	0.01796	0.03133	0.00712	0.00966	0.48423	0.00137	0.1672	0.75354
0.40802	0.19588	0.00107	0.3055	0.12348	0.04386	0.02826	0.02146	0.02804	0.00563	0.00797	0.48832	0.0017	0.20505	0.75874
0.3637	0.23296	0.00075	0.27949	0.09623	0.04259	0.03122	0.02051	0.02516	0.0046	0.00605	0.47993	0.00252	0.28823	0.75417
0.28412	0.20178	0.00096	0.26536	0.11039	0.05123	0.03697	0.02148	0.02063	0.00427	0.0108	0.50342	0.00159	0.23727	0.77241
0.41121	0.24434	0.00162	0.33113	0.18318	0.04655	0.03009	0.02261	0.0286	0.00506	0.01678	0.50662	0.00345	0.12453	0.76927
0.27136	0.2049	0.00073	0.2499	0.10561	0.04626	0.03616	0.0199	0.0184	0.00583	0.01362	0.54048	0.002	0.20441	0.75963
0.36193	0.2402	0.00117	0.258	0.07929	0.05013	0.03393	0.01556	0.02871	0.00565	0.02009	0.51263	0.00125	0.30248	0.76616
0.32242	0.23442	0.00162	0.25043	0.12537	0.03502	0.03825	0.01947	0.01799	0.00596	0.01808	0.53522	0.00273	0.2873	0.76717
0.22179	0.18473	0.0025	0.25217	0.08844	0.02938	0.02772	0.0183	0.02206	0.00441	0.0053	0.5593	0.00343	0.23973	0.74614
0.26923	0.19656	0.00053	0.2754	0.09041	0.03632	0.03037	0.01971	0.02047	0.0034	0.01788	0.59405	0.00109	0.20821	0.75888
0.22908	0.15876	0.00105	0.2575	0.08144	0.0218	0.03047	0.01601	0.01409	0.00483	0.02426	0.55437	0.00293	0.22123	0.75701
0.17707	0.18752	0.00114	0.22599	0.08795	0.02374	0.02356	0.01174	0.01464	0.0028	0.01906	0.59814	0.00248	0.27072	0.76089
0.22074	0.14782	0.00095	0.24927	0.06793	0.01766	0.03845	0.01611	0.02058	0.00384	0.01278	0.57708	0.00223	0.2531	0.76021
0.19451	0.1534	0.00156	0.23528	0.0723	0.01647	0.02238	0.01776	0.00977	0.00451	0.01979	0.5904	0.0021	0.31273	0.74855
0.23129	0.15195	0.00057	0.22631	0.08061	0.00965	0.02414	0.01512	0.01011	0.00271	0.01616	0.54374	0.002	0.23857	0.75096
0.20199	0.15798	0.00098	0.22047	0.10124	0.01185	0.0326	0.01308	0.00953	0.00204	0.0156	0.58656	0.00139	0.25523	0.74092
0.18277	0.13387	0.00122	0.24523	0.07817	0.00114	0.0173	0.01093	0.00399	0.00261	0.01797	0.57161	0.01013	0.31128	0.76117
0.16652	0.13696	0.00063	0.21802	0.07162	0.01685	0.02943	0.01013	0.00359	0.00186	0.01507	0.59244	0.00514	0.3526	0.73571
0.20905	0.15802	0.00101	0.23792	0.06982	0.00807	0.02185	0.00534	0.01081	0.00231	0.01522	0.58233	0.00513	0.28066	0.7419
0.17249	0.16011	0.00107	0.22385	0.04545	0.03051	0.02213	0.01076	0.01736	0.00279	0.02816	0.54901	0.00227	0.26463	0.7447
0.20994	0.1479	0.00108	0.2382	0.07263	0.00818	0.01847	0.0066	0.01789	0.00352	0.02687	0.56932	0.00249	0.32504	0.74979
0.11866	0.134	0.00152	0.21793	0.04809	0.01968	0.02268	0.00843	0.00403	0.00152	0.01429	0.60581	0.00265	0.28486	0.7521
