mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
4.906428561960834	6.272587379745617	3.583258891629637	10.81559151528931	9.477432333653393	3.267983887394406	1.5209051101215803	1.7094121400049989	2.6700641455934444	2.624291112968287	3.9096857278519104	3.6376033987813248	1.3323690548375113	1.745487543259528	12.032706062171755
4.281914711907473	8.170504668535699	4.707264128876559	7.845733081926036	9.542112194264993	4.480302304886193	1.9762462888716168	1.6981372364979503	3.3990713444513734	2.7613071429755145	3.2942116678628235	2.7804399470149925	1.7787417565721317	2.5774376071107588	9.70408707570607
4.666394002438399	7.181399686855476	4.46870482068585	8.999059132381804	9.958306320119627	4.003888131536701	1.7333759174421732	1.8150294004707386	2.8636975040580226	3.3410498996478224	2.9327885482913247	3.746312552017358	1.966264477897311	3.892924701907921	10.693319556955792
5.977973997313997	6.673419916359575	4.741398685926381	8.652009998752296	8.826915099489705	4.776321132771964	1.8783102335968291	1.6276690675038665	3.41591288351496	3.2168079101225024	2.9121399405669384	2.739535312645912	2.248924549334801	2.040170497409997	10.206588678540946
3.9305287309478096	6.411813011148499	5.2389887666657335	10.908549677365958	9.93889542030047	5.430082825578561	1.9821074303478758	1.4816734875572066	2.453646453699903	2.433565518698641	3.494087807198536	2.870651522540186	1.7118634970804711	3.2453189222964216	10.527801114156839
4.181382975470579	5.506838080159317	4.41879927029928	8.856868953848666	9.634698659652027	5.270698245493551	2.204139782715844	1.4574643164657088	3.293278954825363	2.5910409269847703	3.161506784969269	2.8857040269359553	1.0450589581779124	1.7484275405588812	9.916272792283252
3.778591638588271	7.272161159301472	4.596048663092268	8.147587761935101	9.546033775002162	4.369824240515041	1.5256394056803795	1.691345917226257	3.1810383283438863	3.1878321945340504	2.9154224813950167	3.02407129205627	1.5027278443591396	1.6948646703655532	10.690240656999013
4.852163743090861	6.505372034445097	4.6843761578864	8.73919500305181	8.764283321637171	4.57774125800013	1.4558747201105173	2.03883868410213	3.153865828232353	2.6108361274878544	4.737440178511725	3.0679877264180426	2.368434278934176	1.744792082326884	9.164639438050678
3.6738980396344734	6.336996141460153	4.394553160173077	9.235526569627904	8.673062806108424	4.814154219012462	1.1191032785587982	1.477208961724705	3.0191764538143477	2.5025825537458384	2.934882800102652	2.618284998298845	2.071880409750605	1.2512002014254704	11.135733871515473
4.367255077876834	6.465141168369725	3.9178555486586735	10.865643257110616	10.305731552713771	4.85182749808814	1.6415847533369996	2.192109584550348	2.1730890644849885	2.538945274655136	3.278232456289824	2.51922776584399	1.4807892992946672	1.3587160686371833	10.852309178485152
3.5612812118750363	5.451278588833992	4.818341311902709	8.403908411563853	10.251992223771405	4.283632897056524	1.9727617066679208	2.2988635295794673	3.1841563335371874	2.6258130148663597	3.455443474870799	2.5495113600335912	2.138764321426202	2.0132058640830683	10.009163476973479
3.7656062877488927	5.771514760942974	4.6551101755611635	11.244600499492885	11.088094125457275	5.085070641364765	1.7822295882053125	1.7450717347092013	2.9443631809453787	2.6329774759903106	3.064338748433308	2.9513067493423195	1.6779344904816913	1.7970644486723975	9.017902834670714
6.459927277424674	5.4294754935768434	4.048584829556637	9.44726916112587	9.430630543713534	5.0614193702600625	1.8807069117970834	2.2252066964589807	2.8038463137903733	2.8282100410285738	3.6557555509567017	2.8173028144457795	1.7901379997916809	1.5481623379461333	11.304938589739526
3.8715984690722256	6.435016492567271	4.86018470581495	9.419517138577557	9.225932918745038	4.75786471559743	2.0180968201433367	2.679051890116314	3.5462174720890385	2.3720736621637504	2.4324122056853517	3.4688976461374526	1.9069905787787012	1.125913636970816	11.559845321318557
3.495574320826842	7.188521656282486	4.574532215857628	9.016600422510596	9.967243815656369	4.382473402652315	2.3152203690596362	1.7605200072607126	2.9692438293277763	3.086344666499602	3.9617450278987816	3.4926493324773196	1.635168705458468	1.3248900423892978	10.684079272401144
